index,question_word_count,answer_word_count,question_sentence_count,answer_sentence_count,question_readability,answer_readability,flagged_suicide_in_question,flagged_suicide_in_answer,question_emails_found,question_phones_found,answer_emails_found,answer_phones_found,question_entities_sample,answer_entities_sample
77,43,266,3,16,76.21,62.74,False,False,0,0,0,0,[],[]
78,43,70,3,7,76.21,60.12,False,False,0,0,0,0,[],[]
79,43,247,3,12,76.21,46.88,False,False,0,0,0,0,[],[]
80,43,157,3,10,76.21,64.81,False,False,0,0,0,0,[],[]
81,16,89,1,6,100.71,56.8,False,False,0,0,0,0,[],[]
82,16,261,1,14,100.71,74.46,False,False,0,0,0,0,[],[]
83,16,52,1,2,100.71,76.32,False,False,0,0,0,0,[],[]
84,31,79,3,2,79.0,25.39,False,False,0,0,0,0,[],[]
85,31,56,3,3,79.0,56.46,False,False,0,0,0,0,[],[]
86,37,78,4,1,62.54,7.27,False,False,0,0,0,0,[],[]
87,37,74,4,5,62.54,70.63,False,False,0,0,0,0,[],[]
88,37,51,4,4,62.54,39.62,False,False,0,0,0,0,[],[]
89,102,223,6,11,73.46,64.1,False,False,0,0,0,0,[],[]
90,102,73,6,3,73.46,33.8,False,False,0,0,0,0,[],[]
91,102,175,6,12,73.46,61.51,False,False,0,0,0,0,[],[]
92,102,86,6,4,73.46,25.65,False,False,0,0,0,0,[],[]
93,102,194,6,12,73.46,68.32,False,False,0,0,0,0,[],[]
94,102,215,6,7,73.46,40.69,False,False,0,0,0,0,[],[]
95,49,96,3,5,67.67,56.04,False,False,0,0,0,0,[],[]
96,49,503,3,24,67.67,71.02,False,False,0,0,0,0,[],[]
97,49,195,3,12,67.67,59.75,False,False,0,0,0,0,[],[]
98,49,145,3,8,67.67,60.66,False,False,0,0,0,0,[],[]
99,22,213,2,7,72.62,38.92,False,False,0,0,0,0,[],[]
100,22,145,2,8,72.62,64.16,False,False,0,0,0,0,[],[]
101,55,68,4,5,68.29,41.25,False,False,0,0,0,0,[],[]
102,55,149,4,4,68.29,14.02,False,False,0,0,0,0,[],[]
103,55,109,4,4,68.29,41.02,False,False,0,0,0,0,[],[]
104,55,95,4,6,68.29,68.76,False,False,0,0,0,0,[],[]
105,60,215,7,17,86.75,73.59,False,False,0,0,0,0,[],[]
106,60,180,7,9,86.75,61.99,False,False,0,0,0,0,[],[]
107,60,210,7,12,86.75,79.5,False,False,0,0,0,0,[],[]
108,60,116,7,8,86.75,77.62,False,False,0,0,0,0,[],[]
109,60,167,3,7,70.92,53.44,False,False,0,0,0,0,[],[]
110,60,215,3,9,70.92,51.56,False,False,0,0,0,0,[],[]
111,16,252,2,20,77.1,71.51,False,False,0,0,0,0,[],[]
